natCu(p,x)65Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

9.8	216.92	1.67E-01	4.51E+00	1.67E-01
9.9	219.10	1.73E-01	4.67E+00	1.73E-01
10.0	221.08	1.78E-01	4.82E+00	1.78E-01
10.1	222.83	1.84E-01	4.97E+00	1.84E-01
10.2	224.34	1.90E-01	5.13E+00	1.90E-01
10.3	225.59	1.96E-01	5.29E+00	1.96E-01
10.4	226.58	2.02E-01	5.45E+00	2.02E-01
10.5	227.30	2.08E-01	5.61E+00	2.08E-01
10.6	227.72	2.14E-01	5.78E+00	2.14E-01
10.7	227.84	2.20E-01	5.94E+00	2.20E-01
10.8	227.65	2.26E-01	6.11E+00	2.26E-01
10.9	227.14	2.32E-01	6.28E+00	2.32E-01
11.0	226.29	2.39E-01	6.45E+00	2.39E-01
11.1	225.09	2.45E-01	6.61E+00	2.45E-01
11.2	223.56	2.51E-01	6.78E+00	2.51E-01
11.3	221.72	2.57E-01	6.95E+00	2.57E-01
11.4	219.58	2.63E-01	7.12E+00	2.63E-01
11.5	217.16	2.70E-01	7.28E+00	2.70E-01
11.6	214.47	2.76E-01	7.45E+00	2.76E-01
11.7	211.54	2.82E-01	7.61E+00	2.82E-01
11.8	208.38	2.88E-01	7.78E+00	2.88E-01
11.9	205.01	2.94E-01	7.94E+00	2.94E-01
12.0	201.45	3.00E-01	8.10E+00	3.00E-01
12.1	197.70	3.05E-01	8.26E+00	3.05E-01
12.2	193.81	3.11E-01	8.41E+00	3.11E-01
12.3	189.77	3.17E-01	8.56E+00	3.17E-01
12.4	185.62	3.22E-01	8.71E+00	3.22E-01
12.5	181.37	3.28E-01	8.86E+00	3.28E-01
12.6	177.05	3.33E-01	9.01E+00	3.33E-01
12.7	172.68	3.39E-01	9.15E+00	3.39E-01
12.8	168.27	3.44E-01	9.29E+00	3.44E-01
12.9	163.86	3.49E-01	9.43E+00	3.49E-01
13.0	159.45	3.54E-01	9.56E+00	3.54E-01
13.1	155.06	3.59E-01	9.69E+00	3.59E-01
