natCu(p,x)56Co				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

78.2	12.75	7.96E-01	2.15E+01	7.96E-01
78.3	12.73	8.01E-01	2.16E+01	8.01E-01
78.4	12.71	8.06E-01	2.18E+01	8.06E-01
78.5	12.69	8.11E-01	2.19E+01	8.11E-01
78.6	12.67	8.16E-01	2.21E+01	8.16E-01
78.7	12.65	8.21E-01	2.22E+01	8.21E-01
78.8	12.63	8.26E-01	2.23E+01	8.26E-01
78.9	12.61	8.31E-01	2.25E+01	8.31E-01
79.0	12.59	8.37E-01	2.26E+01	8.36E-01
79.1	12.56	8.42E-01	2.27E+01	8.41E-01
79.2	12.54	8.47E-01	2.29E+01	8.47E-01
79.3	12.52	8.52E-01	2.30E+01	8.52E-01
79.4	12.50	8.57E-01	2.32E+01	8.57E-01
79.5	12.48	8.62E-01	2.33E+01	8.62E-01
79.6	12.46	8.67E-01	2.34E+01	8.67E-01
79.7	12.44	8.72E-01	2.36E+01	8.72E-01
79.8	12.42	8.77E-01	2.37E+01	8.77E-01
79.9	12.40	8.82E-01	2.38E+01	8.82E-01
80.0	12.38	8.87E-01	2.40E+01	8.87E-01
80.1	12.36	8.92E-01	2.41E+01	8.92E-01
80.2	12.34	8.97E-01	2.43E+01	8.97E-01
80.3	12.32	9.02E-01	2.44E+01	9.02E-01
80.4	12.30	9.08E-01	2.45E+01	9.07E-01
80.5	12.28	9.13E-01	2.47E+01	9.12E-01
80.6	12.26	9.18E-01	2.48E+01	9.17E-01
80.7	12.24	9.23E-01	2.49E+01	9.23E-01
80.8	12.22	9.28E-01	2.51E+01	9.28E-01
80.9	12.20	9.33E-01	2.52E+01	9.33E-01
81.0	12.18	9.38E-01	2.53E+01	9.38E-01
81.1	12.16	9.43E-01	2.55E+01	9.43E-01
81.2	12.14	9.48E-01	2.56E+01	9.48E-01
81.3	12.13	9.53E-01	2.58E+01	9.53E-01
81.4	12.11	9.58E-01	2.59E+01	9.58E-01
81.5	12.09	9.63E-01	2.60E+01	9.63E-01
81.6	12.07	9.68E-01	2.62E+01	9.68E-01
81.7	12.05	9.73E-01	2.63E+01	9.73E-01
81.8	12.03	9.78E-01	2.64E+01	9.78E-01
81.9	12.01	9.83E-01	2.66E+01	9.83E-01
82.0	12.00	9.88E-01	2.67E+01	9.88E-01
82.1	11.98	9.93E-01	2.68E+01	9.93E-01
82.2	11.96	9.98E-01	2.70E+01	9.98E-01
82.3	11.94	1.00E+00	2.71E+01	1.00E+00
82.4	11.92	1.01E+00	2.72E+01	1.01E+00
82.5	11.90	1.01E+00	2.74E+01	1.01E+00
82.6	11.88	1.02E+00	2.75E+01	1.02E+00
82.7	11.86	1.02E+00	2.76E+01	1.02E+00
82.8	11.85	1.03E+00	2.78E+01	1.03E+00
82.9	11.83	1.03E+00	2.79E+01	1.03E+00
