27Al(p,x)22Na				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

40.6	39.65	7.93E-02	2.14E+00	7.93E-02
40.7	39.90	8.08E-02	2.18E+00	8.08E-02
40.8	40.13	8.24E-02	2.23E+00	8.24E-02
40.9	40.36	8.40E-02	2.27E+00	8.40E-02
41.0	40.58	8.55E-02	2.31E+00	8.55E-02
41.1	40.80	8.71E-02	2.36E+00	8.71E-02
41.2	41.00	8.88E-02	2.40E+00	8.88E-02
41.3	41.20	9.04E-02	2.44E+00	9.04E-02
41.4	41.39	9.20E-02	2.49E+00	9.20E-02
41.5	41.57	9.37E-02	2.53E+00	9.37E-02
41.6	41.75	9.53E-02	2.58E+00	9.53E-02
41.7	41.91	9.70E-02	2.62E+00	9.70E-02
41.8	42.07	9.86E-02	2.67E+00	9.86E-02
41.9	42.22	1.00E-01	2.71E+00	1.00E-01
42.0	42.36	1.02E-01	2.76E+00	1.02E-01
42.1	42.50	1.04E-01	2.80E+00	1.04E-01
42.2	42.62	1.05E-01	2.85E+00	1.05E-01
42.3	42.74	1.07E-01	2.90E+00	1.07E-01
42.4	42.85	1.09E-01	2.94E+00	1.09E-01
42.5	42.96	1.11E-01	2.99E+00	1.11E-01
42.6	43.05	1.12E-01	3.04E+00	1.12E-01
42.7	43.14	1.14E-01	3.08E+00	1.14E-01
42.8	43.22	1.16E-01	3.13E+00	1.16E-01
42.9	43.29	1.18E-01	3.18E+00	1.18E-01
43.0	43.36	1.19E-01	3.23E+00	1.19E-01
43.1	43.42	1.21E-01	3.27E+00	1.21E-01
43.2	43.47	1.23E-01	3.32E+00	1.23E-01
43.3	43.52	1.25E-01	3.37E+00	1.25E-01
43.4	43.55	1.26E-01	3.42E+00	1.26E-01
43.5	43.58	1.28E-01	3.47E+00	1.28E-01
43.6	43.61	1.30E-01	3.51E+00	1.30E-01
43.7	43.62	1.32E-01	3.56E+00	1.32E-01
43.8	43.64	1.34E-01	3.61E+00	1.34E-01
43.9	43.64	1.35E-01	3.66E+00	1.35E-01
44.0	43.64	1.37E-01	3.71E+00	1.37E-01
44.1	43.63	1.39E-01	3.76E+00	1.39E-01
44.2	43.62	1.41E-01	3.81E+00	1.41E-01
44.3	43.60	1.43E-01	3.86E+00	1.43E-01
44.4	43.57	1.45E-01	3.91E+00	1.45E-01
44.5	43.54	1.46E-01	3.96E+00	1.46E-01
44.6	43.51	1.48E-01	4.00E+00	1.48E-01
44.7	43.46	1.50E-01	4.05E+00	1.50E-01
44.8	43.42	1.52E-01	4.10E+00	1.52E-01
44.9	43.37	1.54E-01	4.15E+00	1.54E-01
45.0	43.31	1.55E-01	4.20E+00	1.55E-01
45.1	43.25	1.57E-01	4.25E+00	1.57E-01
45.2	43.19	1.59E-01	4.30E+00	1.59E-01
45.3	43.12	1.61E-01	4.35E+00	1.61E-01
45.4	43.05	1.63E-01	4.40E+00	1.63E-01
45.5	42.97	1.65E-01	4.45E+00	1.65E-01
45.6	42.89	1.66E-01	4.50E+00	1.66E-01
45.7	42.80	1.68E-01	4.55E+00	1.68E-01
45.8	42.72	1.70E-01	4.60E+00	1.70E-01
45.9	42.62	1.72E-01	4.65E+00	1.72E-01
46.0	42.53	1.74E-01	4.70E+00	1.74E-01
46.1	42.43	1.76E-01	4.75E+00	1.76E-01
46.2	42.33	1.77E-01	4.79E+00	1.77E-01
46.3	42.23	1.79E-01	4.84E+00	1.79E-01
46.4	42.12	1.81E-01	4.89E+00	1.81E-01
46.5	42.01	1.83E-01	4.94E+00	1.83E-01
46.6	41.90	1.85E-01	4.99E+00	1.85E-01
46.7	41.78	1.86E-01	5.04E+00	1.86E-01
46.8	41.67	1.88E-01	5.09E+00	1.88E-01
46.9	41.55	1.90E-01	5.14E+00	1.90E-01
47.0	41.43	1.92E-01	5.19E+00	1.92E-01
47.1	41.31	1.94E-01	5.24E+00	1.94E-01
47.2	41.18	1.96E-01	5.28E+00	1.96E-01
47.3	41.05	1.97E-01	5.33E+00	1.97E-01
47.4	40.93	1.99E-01	5.38E+00	1.99E-01
47.5	40.80	2.01E-01	5.43E+00	2.01E-01
47.6	40.67	2.03E-01	5.48E+00	2.03E-01
47.7	40.53	2.04E-01	5.53E+00	2.04E-01
47.8	40.40	2.06E-01	5.57E+00	2.06E-01
47.9	40.27	2.08E-01	5.62E+00	2.08E-01
48.0	40.13	2.10E-01	5.67E+00	2.10E-01
48.1	39.99	2.12E-01	5.72E+00	2.12E-01
48.2	39.86	2.13E-01	5.77E+00	2.13E-01
48.3	39.72	2.15E-01	5.81E+00	2.15E-01
48.4	39.58	2.17E-01	5.86E+00	2.17E-01
48.5	39.44	2.19E-01	5.91E+00	2.19E-01
48.6	39.30	2.20E-01	5.96E+00	2.20E-01
48.7	39.16	2.22E-01	6.01E+00	2.22E-01
48.8	39.02	2.24E-01	6.05E+00	2.24E-01
48.9	38.87	2.26E-01	6.10E+00	2.26E-01
49.0	38.73	2.27E-01	6.15E+00	2.27E-01
49.1	38.59	2.29E-01	6.19E+00	2.29E-01
49.2	38.45	2.31E-01	6.24E+00	2.31E-01
49.3	38.30	2.33E-01	6.29E+00	2.33E-01
49.4	38.16	2.34E-01	6.33E+00	2.34E-01
49.5	38.02	2.36E-01	6.38E+00	2.36E-01
49.6	37.87	2.38E-01	6.43E+00	2.38E-01
49.7	37.73	2.40E-01	6.47E+00	2.40E-01
49.8	37.58	2.41E-01	6.52E+00	2.41E-01
49.9	37.44	2.43E-01	6.57E+00	2.43E-01
50.0	37.30	2.45E-01	6.61E+00	2.45E-01
50.1	37.16	2.46E-01	6.66E+00	2.46E-01
50.2	37.01	2.48E-01	6.70E+00	2.48E-01
50.3	36.87	2.50E-01	6.75E+00	2.50E-01
50.4	36.73	2.51E-01	6.80E+00	2.51E-01
50.5	36.59	2.53E-01	6.84E+00	2.53E-01
50.6	36.45	2.55E-01	6.89E+00	2.55E-01
50.7	36.31	2.56E-01	6.93E+00	2.56E-01
50.8	36.16	2.58E-01	6.98E+00	2.58E-01
50.9	36.02	2.60E-01	7.02E+00	2.60E-01
51.0	35.89	2.61E-01	7.07E+00	2.61E-01
51.1	35.75	2.63E-01	7.11E+00	2.63E-01
51.2	35.61	2.65E-01	7.16E+00	2.65E-01
51.3	35.47	2.66E-01	7.20E+00	2.66E-01
51.4	35.33	2.68E-01	7.25E+00	2.68E-01
51.5	35.20	2.70E-01	7.29E+00	2.70E-01
51.6	35.06	2.71E-01	7.34E+00	2.71E-01
51.7	34.93	2.73E-01	7.38E+00	2.73E-01
51.8	34.79	2.75E-01	7.42E+00	2.75E-01
51.9	34.66	2.76E-01	7.47E+00	2.76E-01
52.0	34.52	2.78E-01	7.51E+00	2.78E-01
52.1	34.39	2.80E-01	7.56E+00	2.80E-01
52.2	34.26	2.81E-01	7.60E+00	2.81E-01
52.3	34.13	2.83E-01	7.64E+00	2.83E-01
52.4	34.00	2.84E-01	7.69E+00	2.84E-01
52.5	33.87	2.86E-01	7.73E+00	2.86E-01
52.6	33.74	2.88E-01	7.77E+00	2.88E-01
52.7	33.61	2.89E-01	7.82E+00	2.89E-01
52.8	33.48	2.91E-01	7.86E+00	2.91E-01
52.9	33.36	2.92E-01	7.90E+00	2.92E-01
53.0	33.23	2.94E-01	7.94E+00	2.94E-01
53.1	33.10	2.96E-01	7.99E+00	2.96E-01
53.2	32.98	2.97E-01	8.03E+00	2.97E-01
53.3	32.86	2.99E-01	8.07E+00	2.99E-01
53.4	32.73	3.00E-01	8.12E+00	3.00E-01
53.5	32.61	3.02E-01	8.16E+00	3.02E-01
53.6	32.49	3.03E-01	8.20E+00	3.03E-01
53.7	32.37	3.05E-01	8.24E+00	3.05E-01
53.8	32.25	3.07E-01	8.28E+00	3.07E-01
53.9	32.13	3.08E-01	8.33E+00	3.08E-01
54.0	32.01	3.10E-01	8.37E+00	3.10E-01
54.1	31.90	3.11E-01	8.41E+00	3.11E-01
54.2	31.78	3.13E-01	8.45E+00	3.13E-01
54.3	31.67	3.14E-01	8.49E+00	3.14E-01
54.4	31.55	3.16E-01	8.54E+00	3.16E-01
54.5	31.44	3.17E-01	8.58E+00	3.17E-01
54.6	31.32	3.19E-01	8.62E+00	3.19E-01
54.7	31.21	3.20E-01	8.66E+00	3.20E-01
54.8	31.10	3.22E-01	8.70E+00	3.22E-01
54.9	30.99	3.23E-01	8.74E+00	3.23E-01
55.0	30.88	3.25E-01	8.78E+00	3.25E-01
55.1	30.77	3.26E-01	8.82E+00	3.26E-01
55.2	30.66	3.28E-01	8.86E+00	3.28E-01
55.3	30.56	3.29E-01	8.90E+00	3.29E-01
55.4	30.45	3.31E-01	8.95E+00	3.31E-01
55.5	30.34	3.32E-01	8.99E+00	3.32E-01
55.6	30.24	3.34E-01	9.03E+00	3.34E-01
55.7	30.14	3.35E-01	9.07E+00	3.35E-01
55.8	30.03	3.37E-01	9.11E+00	3.37E-01
