#ZVView-data-copy:   3-Mar-2018 00:28:04
#=======================================
#
#name:   13-AL-27(P,X)11-NA-24,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  191
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           129         1.32       0.0116     0.000815  # 1997,R.Michel+           ## O0276012
           132            2       0.0106       0.0011  # 1985,R.Michel+           ## A0100013
           139          1.2       0.0115       0.0008  # 1997,R.Michel+           ## O0276012
           139         1.24       0.0114       0.0008  # 1997,R.Michel+           ## O0276012
           140            2       0.0105       0.0011  # 1985,R.Michel+           ## A0100013
           148            2       0.0103       0.0011  # 1985,R.Michel+           ## A0100013
           151          1.1       0.0112      0.00079  # 1997,R.Michel+           ## O0276012
           151         1.14       0.0112     0.000789  # 1997,R.Michel+           ## O0276012
           154            2      0.00997       0.0009  # 1985,R.Michel+           ## A0100013
           161            2      0.00992      0.00089  # 1985,R.Michel+           ## A0100013
           162            1       0.0104      0.00073  # 1997,R.Michel+           ## O0276012
           162         1.02       0.0105     0.000737  # 1997,R.Michel+           ## O0276012
           166            2      0.00996      0.00098  # 1985,R.Michel+           ## A0100013
           172            2      0.00982      0.00088  # 1985,R.Michel+           ## A0100013
           178            2      0.00973      0.00088  # 1985,R.Michel+           ## A0100013
           184            2      0.00964      0.00087  # 1985,R.Michel+           ## A0100013
           189            2      0.00956      0.00086  # 1985,R.Michel+           ## A0100013
           194            2      0.00958      0.00086  # 1985,R.Michel+           ## A0100013
           199            2      0.00946      0.00085  # 1985,R.Michel+           ## A0100013
           256          1.3      0.00974      0.00055  # 1997,R.Michel+           ## O0276012
           298          0.6       0.0112      0.00063  # 1997,R.Michel+           ## O0276012
           362          1.3       0.0113      0.00091  # 1997,R.Michel+           ## O0276012
//
#-------------------------------------------------------------------------------
#
#name:   13-AL-27(P,X)11-NA-24,,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  22
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          10.2            0       0.0002       1.8e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          15.8            0       0.0002       1.8e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          20.3            0       0.0003       2.7e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          24.3            0       0.0004       3.6e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          27.9            0       0.0004       3.6e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          31.1            0       0.0005       4.5e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
            34            0       0.0007       6.3e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          36.8            0       0.0009       8.1e-5  # 1988,M.C.Lagunas-Solar   ## A0445003
          39.5            0       0.0016     0.000144  # 1988,M.C.Lagunas-Solar   ## A0445003
          42.1            0       0.0022     0.000198  # 1988,M.C.Lagunas-Solar   ## A0445003
          44.5            0       0.0027     0.000243  # 1988,M.C.Lagunas-Solar   ## A0445003
          46.8            0       0.0037     0.000333  # 1988,M.C.Lagunas-Solar   ## A0445003
          48.9            0       0.0046     0.000414  # 1988,M.C.Lagunas-Solar   ## A0445003
            51            0       0.0056     0.000504  # 1988,M.C.Lagunas-Solar   ## A0445003
          53.2            0       0.0067     0.000603  # 1988,M.C.Lagunas-Solar   ## A0445003
